n_nodes,n_roots,n_leaves,n_edges,mean_node_predecessors,max_node_predecessors,min_node_predecessors,mean_node_successors,max_node_successors,min_node_successors,mean_node_edges,max_node_edges,min_node_edges,n_vars,n_evidence,runtime
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,3,3,0.03733889999999995
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,5,3,0.04658780000000018
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,5,1,0.045659399999999906
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,5,1,0.0408110000000006
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,2,1,0.030314299999999683
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,5,4,0.03867350000000069
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,4,3,0.03228439999999999
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,3,5,0.04330030000000029
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,5,2,0.041588700000000145
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,5,4,0.04890879999999953
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,4,4,0.04004419999999964
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,2,3,0.041406900000000135
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,1,1,0.03567439999999955
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,1,2,0.033000300000000315
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,2,5,0.041368999999999545
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,5,5,0.03542120000000004
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,3,1,0.026356899999999683
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,3,5,0.0462681000000007
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,5,2,0.03480689999999953
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,1,4,0.0481973
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,1,2,0.028430299999999242
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,5,1,0.040781799999999535
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,2,1,0.026549799999999735
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,1,3,0.032804199999999284
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,4,5,0.03778710000000007
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,3,3,0.032719900000000024
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,1,1,0.02605070000000076
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,5,3,0.04979900000000015
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,5,5,0.039061900000000094
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,4,2,0.03687970000000007
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,2,4,0.04803919999999984
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,2,3,0.03046879999999952
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,5,3,0.03985639999999968
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,4,3,0.043116900000000236
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,2,4,0.029959599999999753
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,5,5,0.03768219999999989
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,3,3,0.03558370000000011
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,3,4,0.03315740000000034
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,3,2,0.019810399999999895
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,2,2,0.028832299999999478
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,3,1,0.01786749999999948
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,3,3,0.023131999999999486
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,4,2,0.02212980000000009
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,4,4,0.04173500000000008
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,1,2,0.02638729999999967
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,3,2,0.029007199999999678
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,4,2,0.03564979999999984
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,5,5,0.03948099999999943
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,1,4,0.03798950000000012
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,4,4,0.03855300000000028
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,3,5,0.051538099999999254
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,2,5,0.0369837000000004
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,1,3,0.02452970000000043
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,2,2,0.021481299999999592
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,3,3,0.031144299999999348
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,2,2,0.019699899999999992
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,2,4,0.0318126000000003
5,2,2,4,0.8,2,0,0.8,3,0,1.6,3,1,3,2,0.024022600000000338
5,2,1,5,1.0,2,0,1.0,3,0,2.0,3,1,3,3,0.028526300000000226
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,5,3,0.028098899999999816
