nodes,roots,leaves,edges,mean_predecessors,max_predecessors,min_predecessors,mean_successors,max_successors,min_successors,mean_edges,max_edges,min_edges,n_query_vars,n_query_evidence,experiment,runtime,exception
20,4,5,32,1.6,3,0,1.6,6,0,3.2,6,1,1,1,join,0.0380756999999998,
29,3,8,55,1.896551724137931,3,0,1.896551724137931,8,0,3.793103448275862,8,2,2,3,join,0.5044005999999999,
13,2,4,20,1.5384615384615383,3,0,1.5384615384615383,6,0,3.076923076923077,6,1,1,1,join,0.0159491999999996,
30,4,7,50,1.6666666666666667,3,0,1.6666666666666667,6,0,3.333333333333333,6,1,3,5,join,12.3178509,
23,4,6,42,1.826086956521739,3,0,1.826086956521739,6,0,3.652173913043478,6,1,2,1,join,0.0273691,
28,7,9,47,1.6785714285714286,3,0,1.6785714285714286,8,0,3.357142857142857,8,1,2,1,join,0.0196015000000002,
18,3,4,31,1.7222222222222223,3,0,1.7222222222222223,5,0,3.4444444444444446,5,2,1,4,join,0.0545917,
23,4,6,42,1.826086956521739,3,0,1.826086956521739,7,0,3.652173913043478,7,1,1,4,join,0.0502213,
29,5,8,47,1.6206896551724137,3,0,1.6206896551724137,7,0,3.2413793103448274,7,1,2,5,join,1.3895758000000002,
11,3,2,19,1.7272727272727273,3,0,1.7272727272727273,6,0,3.4545454545454546,6,1,1,1,join,0.0272415999999999,
31,11,8,49,1.5806451612903225,3,0,1.5806451612903225,8,0,3.161290322580645,8,1,2,1,join,0.0151197,
8,1,4,14,1.75,3,0,1.75,5,0,3.5,5,1,1,1,join,0.0142324,
28,6,9,46,1.6428571428571428,3,0,1.6428571428571428,6,0,3.2857142857142856,6,1,1,1,join,0.0138259,
33,10,13,51,1.5454545454545454,3,0,1.5454545454545454,6,0,3.090909090909091,6,1,2,1,join,0.0242172000000002,
29,9,7,47,1.6206896551724137,3,0,1.6206896551724137,5,0,3.2413793103448274,5,1,2,5,join,0.0417710000000002,
9,1,2,14,1.5555555555555556,3,0,1.5555555555555556,5,0,3.111111111111111,5,2,1,2,join,0.0203899,
4,2,1,4,1.0,2,0,1.0,3,0,2.0,3,1,1,1,join,0.0173005000000001,
27,6,6,45,1.6666666666666667,3,0,1.6666666666666667,6,0,3.333333333333333,6,1,2,1,join,0.0555811999999997,
17,5,5,22,1.2941176470588236,3,0,1.2941176470588236,6,0,2.588235294117647,6,1,1,5,join,0.0347555000000001,
33,8,7,55,1.6666666666666667,3,0,1.6666666666666667,6,0,3.333333333333333,6,1,2,1,join,0.0155338,
23,7,10,35,1.5217391304347827,3,0,1.5217391304347827,6,0,3.0434782608695654,6,1,1,2,join,0.0366916999999999,
7,1,3,11,1.5714285714285714,3,0,1.5714285714285714,4,0,3.142857142857143,4,2,1,1,join,0.0192675000000002,
25,5,6,51,2.04,3,0,2.04,7,0,4.08,7,1,2,4,join,1.6617628999999998,
16,5,3,28,1.75,3,0,1.75,6,0,3.5,6,1,1,3,join,0.1069490000000001,
19,5,3,31,1.631578947368421,3,0,1.631578947368421,5,0,3.263157894736842,5,1,1,2,join,0.0250076999999997,
18,4,6,30,1.6666666666666667,3,0,1.6666666666666667,5,0,3.333333333333333,5,1,1,3,join,0.0321965000000004,
12,4,4,13,1.0833333333333333,3,0,1.0833333333333333,4,0,2.1666666666666665,4,1,1,3,join,0.0159511000000001,
17,3,5,29,1.7058823529411764,3,0,1.7058823529411764,6,0,3.411764705882353,6,1,1,5,join,0.0474238000000002,
28,6,6,51,1.8214285714285716,3,0,1.8214285714285716,6,0,3.642857142857143,6,1,1,4,join,0.7526556000000002,
35,6,10,62,1.7714285714285714,3,0,1.7714285714285714,8,0,3.5428571428571427,8,1,1,4,join,0.2237629999999999,
5,1,1,6,1.2,2,0,1.2,3,0,2.4,3,2,1,1,join,0.0188755999999998,
23,4,7,34,1.4782608695652173,3,0,1.4782608695652173,5,0,2.9565217391304346,5,1,1,5,join,0.0481871999999996,
19,5,7,30,1.5789473684210529,3,0,1.5789473684210529,6,0,3.1578947368421053,6,1,1,4,join,0.0450463,
27,5,6,47,1.7407407407407407,3,0,1.7407407407407407,6,0,3.4814814814814814,6,2,2,4,join,0.2034637999999997,
3,1,2,2,0.6666666666666666,1,0,0.6666666666666666,2,0,1.3333333333333333,2,1,1,1,join,0.0087945,
5,1,1,8,1.6,3,0,1.6,4,0,3.2,4,2,1,1,join,0.0178314999999997,
31,6,8,55,1.7741935483870968,3,0,1.7741935483870968,8,0,3.548387096774193,8,1,1,3,join,0.9749921,
23,5,5,40,1.7391304347826086,3,0,1.7391304347826086,6,0,3.4782608695652173,6,2,1,3,join,0.0384177000000001,
7,2,2,11,1.5714285714285714,3,0,1.5714285714285714,5,0,3.142857142857143,5,2,1,1,join,0.0240394999999997,
21,5,9,31,1.4761904761904765,3,0,1.4761904761904765,7,0,2.952380952380953,7,1,1,1,join,0.0190183999999997,
28,8,8,47,1.6785714285714286,3,0,1.6785714285714286,7,0,3.357142857142857,7,1,1,1,join,0.0678809999999998,
5,2,1,7,1.4,3,0,1.4,4,0,2.8,4,2,1,1,join,0.0193748,
26,6,9,39,1.5,3,0,1.5,6,0,3.0,6,1,1,3,join,0.0460837,
30,6,12,43,1.4333333333333331,3,0,1.4333333333333331,7,0,2.8666666666666667,7,1,2,1,join,0.0316849000000001,
12,3,4,18,1.5,3,0,1.5,8,0,3.0,8,1,1,1,join,0.0223862999999999,
12,3,2,15,1.25,3,0,1.25,4,0,2.5,4,1,1,3,join,0.017821,
22,4,7,41,1.8636363636363635,3,0,1.8636363636363635,8,0,3.727272727272727,8,1,2,1,join,0.0195634999999998,
3,1,1,3,1.0,2,0,1.0,2,0,2.0,2,2,1,1,join,0.0151711999999997,
24,3,4,45,1.875,3,0,1.875,6,0,3.75,6,1,2,3,join,9.9851891,
19,5,5,32,1.6842105263157894,3,0,1.6842105263157894,6,0,3.3684210526315788,6,2,1,3,join,0.0394629999999995,
31,8,8,44,1.4193548387096775,3,0,1.4193548387096775,6,0,2.838709677419355,6,1,2,2,join,0.0384164,
14,5,4,19,1.3571428571428572,3,0,1.3571428571428572,5,0,2.7142857142857144,5,1,1,2,join,0.0143263,
35,10,11,54,1.542857142857143,3,0,1.542857142857143,6,0,3.085714285714286,6,1,2,1,join,0.0246634999999999,
26,8,6,42,1.6153846153846154,3,0,1.6153846153846154,6,0,3.230769230769231,6,1,1,5,join,0.0337136999999998,
5,1,1,5,1.0,2,0,1.0,3,0,2.0,3,1,1,1,join,0.0191453999999997,
16,2,4,27,1.6875,3,0,1.6875,6,0,3.375,6,1,1,2,join,0.0268622999999998,
6,1,2,8,1.3333333333333333,3,0,1.3333333333333333,4,0,2.6666666666666665,4,1,1,1,join,0.0212040999999998,
6,1,2,7,1.1666666666666667,3,0,1.1666666666666667,3,0,2.333333333333333,3,1,1,1,join,0.0168098999999997,
19,3,7,33,1.736842105263158,3,0,1.736842105263158,7,0,3.473684210526316,7,1,1,4,join,0.0425329000000003,
10,3,4,14,1.4,3,0,1.4,6,0,2.8,6,1,1,2,join,0.0180053,
30,4,7,52,1.7333333333333334,3,0,1.7333333333333334,7,0,3.466666666666667,7,1,3,3,join,1.3244781,
25,6,11,40,1.6,3,0,1.6,7,0,3.2,7,0,2,2,join,0.2305074,
4,1,1,4,1.0,2,0,1.0,3,0,2.0,3,1,1,1,join,0.0151131999999996,
17,5,6,23,1.3529411764705883,3,0,1.3529411764705883,7,0,2.7058823529411766,7,1,1,4,join,0.0534615999999998,
8,3,2,13,1.625,3,0,1.625,4,0,3.25,4,2,1,2,join,0.0280644999999997,
16,4,5,25,1.5625,3,0,1.5625,6,0,3.125,6,1,1,1,join,0.0530939999999997,
11,4,1,16,1.4545454545454546,3,0,1.4545454545454546,4,0,2.909090909090909,4,1,1,3,join,0.0510660999999998,
10,1,3,17,1.7,3,0,1.7,5,0,3.4,5,2,1,2,join,0.0278325000000001,
24,7,8,38,1.5833333333333333,3,0,1.5833333333333333,9,0,3.1666666666666665,9,1,1,5,join,0.0539780000000003,
30,5,7,50,1.6666666666666667,3,0,1.6666666666666667,6,0,3.333333333333333,6,0,1,1,join,0.6652427000000003,
10,2,3,15,1.5,3,0,1.5,5,0,3.0,5,1,1,3,join,0.0386779000000001,
22,3,6,39,1.7727272727272727,3,0,1.7727272727272727,6,0,3.5454545454545454,6,1,2,1,join,0.0970938999999999,
11,3,2,17,1.5454545454545454,3,0,1.5454545454545454,4,0,3.090909090909091,4,1,1,2,join,0.0386947000000001,
26,5,12,41,1.5769230769230769,3,0,1.5769230769230769,9,0,3.1538461538461537,9,1,1,1,join,0.0324236999999998,
6,2,2,8,1.3333333333333333,3,0,1.3333333333333333,4,0,2.6666666666666665,4,1,1,1,join,0.0129944000000001,
3,1,1,3,1.0,2,0,1.0,2,0,2.0,2,2,1,1,join,0.0157807999999999,
26,7,6,50,1.9230769230769231,3,0,1.9230769230769231,7,0,3.8461538461538463,7,1,1,5,join,0.9015638000000004,
27,6,8,39,1.4444444444444444,3,0,1.4444444444444444,6,0,2.888888888888889,6,1,1,3,join,0.0566870999999999,
23,5,7,35,1.5217391304347827,3,0,1.5217391304347827,6,0,3.0434782608695654,6,1,2,3,join,0.3320533999999999,
3,1,1,3,1.0,2,0,1.0,2,0,2.0,2,2,1,1,join,0.0187686999999998,
10,3,3,15,1.5,3,0,1.5,4,0,3.0,4,1,1,2,join,0.0325572000000002,
31,4,9,61,1.967741935483871,3,0,1.967741935483871,7,0,3.935483870967742,7,1,3,3,join,0.1222984,
15,4,3,24,1.6,3,0,1.6,5,0,3.2,5,1,1,2,join,0.0333396999999999,
21,6,5,33,1.5714285714285714,3,0,1.5714285714285714,7,0,3.142857142857143,7,1,1,3,join,0.0537431999999999,
18,5,5,29,1.6111111111111112,3,0,1.6111111111111112,6,0,3.2222222222222223,6,1,1,1,join,0.0110171999999999,
25,3,4,46,1.84,3,0,1.84,6,0,3.68,6,2,2,1,join,0.0140022000000001,
19,4,3,31,1.631578947368421,3,0,1.631578947368421,6,0,3.263157894736842,6,1,1,5,join,0.1501247999999999,
9,1,2,18,2.0,3,0,2.0,6,0,4.0,6,1,1,1,join,0.0306160000000002,
10,2,4,16,1.6,3,0,1.6,5,0,3.2,5,1,1,2,join,0.0225550999999999,
25,6,4,42,1.68,3,0,1.68,5,0,3.36,5,1,1,4,join,0.2615655000000001,
2,1,1,1,0.5,1,0,0.5,1,0,1.0,1,1,1,1,join,0.0147319000000001,
12,2,3,20,1.6666666666666667,3,0,1.6666666666666667,5,0,3.333333333333333,5,1,1,1,join,0.0192248999999997,
6,1,2,10,1.6666666666666667,3,0,1.6666666666666667,4,0,3.333333333333333,4,3,1,1,join,0.0199853,
28,3,6,54,1.9285714285714288,3,0,1.9285714285714288,9,0,3.857142857142857,9,2,1,2,join,3.7256721,
9,3,2,13,1.4444444444444444,3,0,1.4444444444444444,6,0,2.888888888888889,6,1,1,1,join,0.0242359000000003,
23,5,3,36,1.565217391304348,3,0,1.565217391304348,5,0,3.130434782608696,5,1,1,1,join,0.0179702999999999,
28,7,7,40,1.4285714285714286,3,0,1.4285714285714286,6,0,2.857142857142857,6,1,1,2,join,0.0298058000000001,
14,1,3,24,1.7142857142857142,3,0,1.7142857142857142,6,0,3.4285714285714284,6,1,1,3,join,0.0589340999999996,
4,1,1,5,1.25,2,0,1.25,3,0,2.5,3,2,1,1,join,0.0203742999999998,
21,4,5,34,1.619047619047619,3,0,1.619047619047619,5,0,3.238095238095238,5,1,2,3,join,0.0631941,
6,1,2,11,1.8333333333333333,3,0,1.8333333333333333,5,0,3.6666666666666665,5,3,1,1,join,0.0314085999999997,
16,5,4,22,1.375,3,0,1.375,5,0,2.75,5,1,1,2,join,0.0287394999999994,
34,8,10,55,1.6176470588235294,3,0,1.6176470588235294,6,0,3.235294117647059,6,1,3,4,join,0.1573216999999998,
29,9,8,43,1.4827586206896552,3,0,1.4827586206896552,7,0,2.9655172413793105,7,1,1,4,join,0.0928785999999997,
12,2,2,19,1.5833333333333333,3,0,1.5833333333333333,5,0,3.1666666666666665,5,1,1,2,join,0.0404555000000002,
33,9,9,49,1.4848484848484849,3,0,1.4848484848484849,8,0,2.9696969696969697,8,1,3,1,join,0.0321046999999996,
14,3,4,21,1.5,3,0,1.5,5,0,3.0,5,1,1,4,join,0.0565186000000004,
2,1,1,1,0.5,1,0,0.5,1,0,1.0,1,1,1,1,join,0.0246260999999998,
32,11,12,41,1.28125,3,0,1.28125,6,0,2.5625,6,0,3,3,join,0.0758400999999997,
20,4,6,37,1.85,3,0,1.85,8,0,3.7,8,1,1,3,join,0.0443268999999997,
14,4,4,23,1.6428571428571428,3,0,1.6428571428571428,6,0,3.2857142857142856,6,1,1,1,join,0.0404653000000001,
10,2,3,12,1.2,3,0,1.2,4,0,2.4,4,1,1,1,join,0.0146720999999998,
17,2,3,32,1.8823529411764703,3,0,1.8823529411764703,7,0,3.764705882352941,7,2,1,2,join,0.0220184000000003,
25,4,5,42,1.68,3,0,1.68,7,0,3.36,7,1,1,1,join,0.0356471999999996,
30,5,6,53,1.7666666666666666,3,0,1.7666666666666666,7,0,3.533333333333333,7,1,3,4,join,0.1467414999999996,
22,7,7,37,1.681818181818182,3,0,1.681818181818182,5,0,3.363636363636364,5,1,1,2,join,0.0172067999999998,
13,3,3,23,1.7692307692307692,3,0,1.7692307692307692,5,0,3.5384615384615383,5,1,1,1,join,0.0141464,
28,8,12,45,1.6071428571428572,3,0,1.6071428571428572,6,0,3.2142857142857144,6,0,2,2,join,0.0250871000000003,
3,1,2,2,0.6666666666666666,1,0,0.6666666666666666,2,0,1.3333333333333333,2,1,1,1,join,0.0145395999999999,
34,7,13,59,1.7352941176470589,3,0,1.7352941176470589,9,0,3.4705882352941178,9,1,1,1,join,0.0292985000000003,
18,2,4,37,2.055555555555556,3,0,2.055555555555556,6,0,4.111111111111111,6,1,1,2,join,0.0918428999999996,
18,4,3,29,1.6111111111111112,3,0,1.6111111111111112,5,0,3.2222222222222223,5,1,1,4,join,0.0337405999999997,
9,3,3,13,1.4444444444444444,3,0,1.4444444444444444,5,0,2.888888888888889,5,1,1,1,join,0.0157007,
31,6,6,55,1.7741935483870968,3,0,1.7741935483870968,6,0,3.548387096774193,6,2,2,2,join,0.0384805999999997,
22,5,7,31,1.4090909090909092,3,0,1.4090909090909092,5,0,2.8181818181818183,5,1,1,4,join,0.0551279999999998,
10,3,2,13,1.3,3,0,1.3,4,0,2.6,4,1,1,1,join,0.0123706000000001,
4,1,2,4,1.0,2,0,1.0,3,0,2.0,3,1,1,1,join,0.0134420000000003,
14,3,4,19,1.3571428571428572,3,0,1.3571428571428572,5,0,2.7142857142857144,5,1,1,3,join,0.0322966,
34,8,14,56,1.6470588235294117,3,0,1.6470588235294117,7,0,3.294117647058824,7,1,3,2,join,18.7349216,
19,3,4,37,1.947368421052632,3,0,1.947368421052632,7,0,3.8947368421052633,7,1,1,2,join,0.0532913999999999,
34,10,11,48,1.411764705882353,3,0,1.411764705882353,6,0,2.823529411764706,6,1,3,3,join,1.1532648,
17,3,5,29,1.7058823529411764,3,0,1.7058823529411764,6,0,3.411764705882353,6,1,1,4,join,0.0621817999999994,
12,2,5,20,1.6666666666666667,3,0,1.6666666666666667,6,0,3.333333333333333,6,1,1,1,join,0.0360189000000001,
13,4,4,17,1.3076923076923077,3,0,1.3076923076923077,4,0,2.6153846153846154,4,1,1,1,join,0.0300846999999997,
2,1,1,1,0.5,1,0,0.5,1,0,1.0,1,1,1,1,join,0.0294303000000004,
6,2,1,9,1.5,3,0,1.5,5,0,3.0,5,2,1,1,join,0.0273248999999999,
29,6,9,49,1.6896551724137931,3,0,1.6896551724137931,7,0,3.3793103448275863,7,1,2,2,join,0.0341692,
2,1,1,1,0.5,1,0,0.5,1,0,1.0,1,1,1,1,join,0.0143533999999996,
15,4,5,23,1.5333333333333334,3,0,1.5333333333333334,6,0,3.066666666666667,6,2,1,1,join,0.0220414999999998,
4,1,1,5,1.25,2,0,1.25,3,0,2.5,3,2,1,1,join,0.0170780000000001,
15,6,3,19,1.2666666666666666,3,0,1.2666666666666666,5,0,2.533333333333333,5,0,1,2,join,0.0331258999999999,
9,3,2,15,1.6666666666666667,3,0,1.6666666666666667,5,0,3.333333333333333,5,1,1,2,join,0.0287950999999999,
2,1,1,1,0.5,1,0,0.5,1,0,1.0,1,1,1,1,join,0.0144529000000002,
21,6,5,32,1.5238095238095235,3,0,1.5238095238095235,6,0,3.0476190476190474,6,1,1,2,join,0.0763860999999996,
15,3,4,22,1.4666666666666666,3,0,1.4666666666666666,5,0,2.933333333333333,5,1,1,2,join,0.0393732,
19,1,5,36,1.894736842105263,3,0,1.894736842105263,7,0,3.789473684210526,7,1,1,4,join,0.0518407999999999,
7,1,3,10,1.4285714285714286,3,0,1.4285714285714286,5,0,2.857142857142857,5,1,1,2,join,0.0263380000000004,
25,6,8,39,1.56,3,0,1.56,6,0,3.12,6,1,2,2,join,0.1249891999999999,
30,5,10,51,1.7,3,0,1.7,7,0,3.4,7,1,2,1,join,0.0293293999999999,
5,1,2,5,1.0,2,0,1.0,3,0,2.0,3,1,1,1,join,0.0179446000000003,
23,4,9,32,1.391304347826087,3,0,1.391304347826087,6,0,2.782608695652174,6,1,1,4,join,0.0432785,
11,2,3,16,1.4545454545454546,3,0,1.4545454545454546,5,0,2.909090909090909,5,1,1,1,join,0.0131226999999998,
15,4,5,25,1.6666666666666667,3,0,1.6666666666666667,6,0,3.333333333333333,6,1,1,1,join,0.0322770000000001,
31,5,7,51,1.6451612903225807,3,0,1.6451612903225807,7,0,3.290322580645161,7,1,3,1,join,1.1438943999999998,
15,4,4,18,1.2,3,0,1.2,5,0,2.4,5,1,1,1,join,0.0194896999999998,
16,2,3,31,1.9375,3,0,1.9375,6,0,3.875,6,2,1,4,join,0.0616072999999999,
21,5,7,34,1.619047619047619,3,0,1.619047619047619,6,0,3.238095238095238,6,1,2,1,join,0.0946227000000003,
13,2,3,26,2.0,3,0,2.0,6,0,4.0,6,3,1,2,join,0.0268712999999998,
16,5,3,27,1.6875,3,0,1.6875,5,0,3.375,5,1,1,3,join,0.0916804999999998,
8,2,2,11,1.375,3,0,1.375,5,0,2.75,5,1,1,1,join,0.0113910000000001,
5,1,1,9,1.8,3,0,1.8,4,0,3.6,4,3,1,1,join,0.0176550999999998,
16,4,5,25,1.5625,3,0,1.5625,6,0,3.125,6,1,1,1,join,0.0091088999999997,
19,7,6,23,1.2105263157894737,3,0,1.2105263157894737,5,0,2.421052631578948,5,1,1,4,join,0.0499358999999999,
15,4,4,26,1.7333333333333334,3,0,1.7333333333333334,6,0,3.466666666666667,6,1,1,2,join,0.03912,
30,8,8,44,1.4666666666666666,3,0,1.4666666666666666,5,0,2.933333333333333,5,1,3,4,join,1.6531755,
9,2,2,18,2.0,3,0,2.0,7,0,4.0,7,1,1,1,join,0.0085416,
15,5,3,24,1.6,3,0,1.6,7,0,3.2,7,1,1,1,join,0.0113564999999997,
30,8,10,50,1.6666666666666667,3,0,1.6666666666666667,7,0,3.333333333333333,7,1,3,4,join,0.7627883999999998,
34,7,9,60,1.7647058823529411,3,0,1.7647058823529411,7,0,3.5294117647058822,7,1,2,1,join,0.0777247,
28,6,9,48,1.7142857142857142,3,0,1.7142857142857142,7,0,3.4285714285714284,7,1,2,2,join,0.0375410999999998,
25,7,5,41,1.64,3,0,1.64,6,0,3.28,6,1,2,1,join,0.0481886,
21,6,6,34,1.619047619047619,3,0,1.619047619047619,6,0,3.238095238095238,6,1,2,5,join,0.0567191999999998,
3,1,1,2,0.6666666666666666,1,0,0.6666666666666666,2,0,1.3333333333333333,2,1,1,1,join,0.0171402,
26,5,8,43,1.6538461538461535,3,0,1.6538461538461535,6,0,3.3076923076923075,6,1,2,3,join,0.2838365,
4,1,1,6,1.5,3,0,1.5,3,0,3.0,3,3,1,1,join,0.0164998,
8,1,1,15,1.875,3,0,1.875,5,0,3.75,5,2,1,1,join,0.0203667000000002,
21,5,5,34,1.619047619047619,3,0,1.619047619047619,6,0,3.238095238095238,6,1,1,3,join,0.0341908999999995,
29,7,8,46,1.5862068965517242,3,0,1.5862068965517242,6,0,3.1724137931034484,6,1,2,3,join,0.1439247999999997,
19,6,5,29,1.5263157894736843,3,0,1.5263157894736843,6,0,3.0526315789473686,6,0,1,4,join,0.0506883999999998,
26,5,6,40,1.5384615384615383,3,0,1.5384615384615383,7,0,3.076923076923077,7,1,1,1,join,0.0428971000000002,
13,3,1,21,1.6153846153846154,3,0,1.6153846153846154,5,0,3.230769230769231,5,2,1,1,join,0.0293806,
21,3,5,40,1.9047619047619049,3,0,1.9047619047619049,8,0,3.809523809523809,8,1,1,4,join,0.0683547999999998,
26,9,6,38,1.4615384615384617,3,0,1.4615384615384617,5,0,2.923076923076923,5,1,1,1,join,0.0230482000000002,
6,1,1,9,1.5,3,0,1.5,4,0,3.0,4,2,1,1,join,0.0131514999999997,
33,8,8,51,1.5454545454545454,3,0,1.5454545454545454,7,0,3.090909090909091,7,1,3,2,join,0.3658906000000002,
33,9,10,53,1.606060606060606,3,0,1.606060606060606,6,0,3.212121212121212,6,1,2,2,join,0.0218509999999998,
24,8,7,31,1.2916666666666667,3,0,1.2916666666666667,5,0,2.583333333333333,5,1,2,1,join,0.0691789999999996,
2,1,1,1,0.5,1,0,0.5,1,0,1.0,1,1,1,1,join,0.0147197000000001,
31,7,7,50,1.6129032258064515,3,0,1.6129032258064515,5,0,3.225806451612903,5,1,3,4,join,0.1155359000000002,
10,3,2,16,1.6,3,0,1.6,6,0,3.2,6,1,1,1,join,0.0244446000000002,
10,1,4,13,1.3,2,0,1.3,4,0,2.6,4,1,1,2,join,0.0293146000000001,
32,7,9,52,1.625,3,0,1.625,6,0,3.25,6,1,1,3,join,1.0807629999999997,
11,2,3,18,1.6363636363636365,3,0,1.6363636363636365,4,0,3.272727272727273,4,1,1,2,join,0.0341632,
3,1,1,3,1.0,2,0,1.0,2,0,2.0,2,2,1,1,join,0.0165658999999998,
30,7,11,47,1.5666666666666669,3,0,1.5666666666666669,6,0,3.1333333333333333,6,1,1,1,join,0.0175819000000001,
5,1,2,6,1.2,3,0,1.2,4,0,2.4,4,1,1,1,join,0.0128683,
11,3,4,15,1.3636363636363635,3,0,1.3636363636363635,5,0,2.727272727272727,5,1,1,1,join,0.0338798000000002,
25,5,7,49,1.96,3,0,1.96,7,0,3.92,7,1,1,4,join,0.1391721999999999,
24,6,8,33,1.375,3,0,1.375,5,0,2.75,5,1,1,2,join,0.0209040000000002,
8,3,1,13,1.625,3,0,1.625,6,0,3.25,6,1,1,1,join,0.0258457999999999,
10,2,3,20,2.0,3,0,2.0,6,0,4.0,6,3,1,1,join,0.0235358999999997,
13,1,3,24,1.8461538461538465,3,0,1.8461538461538465,5,0,3.692307692307693,5,2,1,1,join,0.0226748000000003,
8,2,2,13,1.625,3,0,1.625,4,0,3.25,4,1,1,2,join,0.0192640000000001,
33,7,9,57,1.7272727272727273,3,0,1.7272727272727273,8,0,3.4545454545454546,8,1,2,3,join,0.0380446,
26,7,7,40,1.5384615384615383,3,0,1.5384615384615383,6,0,3.076923076923077,6,1,1,2,join,0.0306594000000002,
3,1,1,3,1.0,2,0,1.0,2,0,2.0,2,2,1,1,join,0.0203675000000003,
26,6,5,43,1.6538461538461535,3,0,1.6538461538461535,6,0,3.3076923076923075,6,1,1,1,join,0.0229297000000001,
31,5,11,51,1.6451612903225807,3,0,1.6451612903225807,6,0,3.290322580645161,6,1,1,1,join,0.1245694000000003,
17,4,6,28,1.6470588235294117,3,0,1.6470588235294117,6,0,3.294117647058824,6,1,1,3,join,0.0383441000000002,
